Afghanistan,4,2020-04-01
Albania,2,2020-03-12
Algeria,4,2020-03-23
Antigua and Barbuda,2,2020-03-13
Argentina,4,2020-03-22
Armenia,1,2020-03-14
Australia,3,2020-03-11
Australia:Australian Capital Territory,0,2020-03-18
Australia:New South Wales,2,2020-03-09
Australia:Northern Territory,5,2020-03-20
Australia:Queensland,3,2020-03-13
Australia:South Australia,3,2020-03-11
Australia:Tasmania,2,2020-03-11
Australia:Victoria,3,2020-03-13
Australia:Western Australia,3,2020-03-13
Austria,1,2020-03-06
Azerbaijan,2,2020-03-21
Bahamas,2,2020-03-19
Bahrain,2,2020-02-25
Barbados,0,2020-03-17
Belarus,2,2020-03-18
Belgium,5,2020-03-06
Bolivia,4,2020-03-27
Bosnia and Herzegovina,3,2020-03-14
Brazil,2,2020-03-22
Brazil:AC,3,2020-03-20
Brazil:AL,4,2020-03-29
Brazil:AM,3,2020-03-22
Brazil:AP,3,2020-03-28
Brazil:BA,4,2020-03-25
Brazil:CE,2,2020-03-20
Brazil:DF,1,2020-03-17
Brazil:ES,2,2020-03-21
Brazil:GO,4,2020-03-26
Brazil:MA,3,2020-04-01
Brazil:MG,4,2020-03-23
Brazil:MS,4,2020-03-21
Brazil:MT,2,2020-03-30
Brazil:PA,2,2020-04-02
Brazil:PB,2,2020-04-01
Brazil:PE,2,2020-03-26
Brazil:PI,4,2020-03-31
Brazil:PR,2,2020-03-23
Brazil:RJ,2,2020-03-20
Brazil:RN,5,2020-03-26
Brazil:RO,2,2020-04-01
Brazil:RR,5,2020-03-25
Brazil:RS,2,2020-03-21
Brazil:SC,2,2020-03-21
Brazil:SE,4,2020-03-24
Brazil:SP,2,2020-03-18
Brazil:TO,4,2020-03-27
Brunei,0,2020-03-11
Bulgaria,2,2020-03-14
Cabo Verde,4,2020-03-21
Cameroon,4,2020-03-29
Canada,3,2020-03-13
Canada:Alberta,3,2020-03-13
Canada:British Columbia,2,2020-03-08
Canada:Manitoba,2,2020-03-16
Canada:New Brunswick,3,2020-03-16
Canada:Newfoundland and Labrador,1,2020-03-17
Canada:Nova Scotia,5,2020-03-16
Canada:Ontario,2,2020-03-13
Canada:Prince Edward Island,2,2020-03-15
Canada:Quebec,1,2020-03-16
Canada:Saskatchewan,1,2020-03-16
Chile,3,2020-03-16
China,2,2020-01-30
China:Hong Kong,4,2020-02-10
China:Hubei,2,2020-01-25
China:Macau,4,2020-01-26
Colombia,2,2020-03-23
Costa Rica,2,2020-03-14
Cote d'Ivoire,4,2020-03-29
Croatia,5,2020-03-13
Cuba,2,2020-03-25
Cyprus,5,2020-03-11
Czechia,5,2020-03-11
Denmark,0,2020-03-08
Djibouti,3,2020-03-25
Dominica,0,2020-03-22
Dominican Republic,1,2020-03-20
Ecuador,0,2020-03-18
Egypt,4,2020-03-26
El Salvador,4,2020-04-02
Equatorial Guinea,4,2020-03-23
Estonia,1,2020-03-06
Finland,1,2020-03-09
France,5,2020-03-05
Gabon,2,2020-03-31
Georgia,4,2020-03-11
Germany,3,2020-03-05
Ghana,4,2020-03-29
Greece,2,2020-03-08
Grenada,0,2020-03-22
Guinea,2,2020-04-03
Guinea-Bissau,4,2020-04-03
Guyana,2,2020-03-15
Honduras,4,2020-03-26
Hungary,2,2020-03-17
Iceland,0,2020-03-01
Iran,0,2020-02-29
Iraq,4,2020-03-20
Ireland,5,2020-03-10
Israel,2,2020-03-08
Italy,5,2020-02-25
Italy:Abruzzo,5,2020-03-04
Italy:Basilicata,2,2020-03-06
Italy:Calabria,5,2020-03-09
Italy:Campania,2,2020-03-03
Italy:Friuli Venezia Giulia,1,2020-03-02
Italy:Lazio,3,2020-03-05
Italy:Marche,0,2020-02-29
Italy:Molise,2,2020-03-03
Italy:P.A. Bolzano,0,2020-03-06
Italy:P.A. Trento,0,2020-03-03
Italy:Piemonte,1,2020-03-01
Italy:Puglia,5,2020-03-07
Italy:Sardegna,5,2020-03-08
Italy:Sicilia,3,2020-03-07
Italy:Toscana,0,2020-03-03
Italy:Umbria,5,2020-03-03
Italy:Valle d'Aosta,0,2020-03-05
Jamaica,4,2020-03-19
Japan,4,2020-03-11
Kazakhstan,2,2020-03-26
Korea  South,1,2020-02-22
Kosovo,0,2020-03-26
Kuwait,4,2020-02-26
Kyrgyzstan,2,2020-03-24
Latvia,3,2020-03-11
Lebanon,2,2020-03-10
Liechtenstein,3,2020-03-04
Lithuania,0,2020-03-16
Luxembourg,0,2020-03-10
Malaysia,3,2020-03-13
Maldives,4,2020-03-08
Malta,3,2020-03-07
Mauritius,0,2020-03-20
Mexico,4,2020-03-27
Moldova,3,2020-03-15
Montenegro,0,2020-03-20
Morocco,4,2020-03-25
Netherlands,5,2020-03-06
New Zealand,1,2020-03-19
North Macedonia,3,2020-03-13
Norway,1,2020-03-03
Oman,2,2020-03-18
Pakistan,4,2020-03-25
Panama,3,2020-03-13
Peru,2,2020-03-19
Philippines,4,2020-03-24
Poland,2,2020-03-17
Portugal,5,2020-03-11
Qatar,0,2020-03-08
Romania,2,2020-03-14
Russia,2,2020-03-26
Saint Kitts and Nevis,0,2020-03-25
Saint Lucia,2,2020-03-14
San Marino,0,2020-02-27
Saudi Arabia,2,2020-03-17
Senegal,4,2020-03-24
Serbia,2,2020-03-13
Seychelles,0,2020-03-14
Singapore,4,2020-02-07
Slovakia,2,2020-03-13
Slovenia,0,2020-03-08
South Africa,4,2020-03-23
Spain,5,2020-03-05
Sweden,1,2020-03-05
Switzerland,1,2020-03-03
Trinidad and Tobago,3,2020-03-18
Tunisia,2,2020-03-21
Turkey,0,2020-03-21
US,5,2020-03-12
US:Alabama,3,2020-03-16
US:Alaska,1,2020-03-18
US:Arizona,0,2020-03-19
US:Arkansas,0,2020-03-19
US:California,3,2020-03-12
US:Colorado,3,2020-03-11
US:Connecticut,0,2020-03-14
US:Delaware,5,2020-03-14
US:District of Columbia,0,2020-03-16
US:Florida,0,2020-03-17
US:Georgia,1,2020-03-14
US:Guam,0,2020-03-16
US:Hawaii,5,2020-03-16
US:Idaho,1,2020-03-18
US:Illinois,1,2020-03-14
US:Indiana,0,2020-03-18
US:Iowa,2,2020-03-13
US:Kansas,3,2020-03-17
US:Kentucky,3,2020-03-17
US:Louisiana,0,2020-03-13
US:Maine,0,2020-03-16
US:Maryland,5,2020-03-16
US:Massachusetts,3,2020-03-10
US:Michigan,0,2020-03-16
US:Minnesota,3,2020-03-16
US:Mississippi,0,2020-03-17
US:Missouri,0,2020-03-19
US:Montana,3,2020-03-15
US:Nebraska,2,2020-03-12
US:Nevada,1,2020-03-13
US:New Hampshire,5,2020-03-14
US:New Jersey,0,2020-03-13
US:New Mexico,3,2020-03-14
US:New York,5,2020-03-09
US:North Carolina,5,2020-03-17
US:North Dakota,1,2020-03-18
US:Northern Mariana Islands,0,2020-03-31
US:Ohio,5,2020-03-17
US:Oklahoma,1,2020-03-19
US:Oregon,2,2020-03-12
US:Pennsylvania,1,2020-03-16
US:Puerto Rico,3,2020-03-21
US:Rhode Island,1,2020-03-13
US:South Carolina,1,2020-03-16
US:South Dakota,2,2020-03-11
US:Tennessee,0,2020-03-16
US:Texas,5,2020-03-18
US:Utah,1,2020-03-15
US:Vermont,1,2020-03-14
US:Virgin Islands,0,2020-03-16
US:Virginia,3,2020-03-16
US:Washington,1,2020-03-05
US:West Virginia,1,2020-03-21
US:Wisconsin,0,2020-03-16
US:Wyoming,1,2020-03-17
Ukraine,2,2020-03-27
United Arab Emirates,2,2020-03-10
United Kingdom,3,2020-03-10
Uruguay,5,2020-03-17
Uzbekistan,4,2020-03-31
West Bank and Gaza,4,2020-03-10
